depth,mode,step,seed,free_answer_accuracy,free_exact_continuation,terminal_query,terminal_state_mass,terminal_state_argmax_accuracy,local_query_status,local_rule_accuracy,local_rule_tv,local_state_mass,local_state_mass_min,local_context_variation_tv,epsilon_rule,gamma,composition_tv_with_invalid,composition_tv_conditional,product_answer_accuracy,gradient_query,gradient_actual_norm,gradient_predicted_norm,gradient_cosine,gradient_relative_error,gradient_rule_pullback_norm,gradient_rule_cosine,descent_oracle_rule_cosine,descent_random_rule_cosine_mean,descent_random_rule_cosine_std,gradient_actual_loss,gradient_predicted_loss
4,outcome,500,42,0.14453125,0.14453125,direct answer conditioned on COLON,0.9985561370849609,0.10000000149011612,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
4,both,500,42,0.1640625,0.1640625,direct answer conditioned on COLON,0.9955984354019165,0.0625,gold-prefix trace readout; conditioned on valid state token,0.9987980723381042,0.03107651136815548,0.9998015761375427,0.825926661491394,0.017322303727269173,1.1977483034133911,0.07003898918628693,0.8557927012443542,0.8554219007492065,1.0,mixed only; direct answer CE; first-step local tables,3.8690922260284424,1.4556933641433716,0.07829789671241942,1.0404975946424944,1.3852211236953735,0.06193497038689434,-0.03418117903304825,-0.02879243184592992,0.0518996569904229,2.632429361343384,0.07547377049922943
4,process,1000,42,1.0,1.0,after greedy trace; not a marginal over traces,1.0,1.0,gold-prefix trace readout; conditioned on valid state token,1.0,0.0004038967890664935,0.9999974966049194,0.9972100257873535,0.00025896253646351397,1.0010333061218262,0.0007649621111340821,0.0012857059482485056,0.0012857037363573909,1.0,,,,,,,,,,,,
4,outcome,1000,42,0.17578125,0.17578125,direct answer conditioned on COLON,0.999128520488739,0.16249999403953552,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
4,both,1000,42,0.21875,0.21875,direct answer conditioned on COLON,0.9950577616691589,0.20000000298023224,gold-prefix trace readout; conditioned on valid state token,0.9975961446762085,0.02832225151360035,0.9997683167457581,0.7796776294708252,0.022665884345769882,1.1956696510314941,0.06759510934352875,0.8404432535171509,0.839883029460907,0.987500011920929,mixed only; direct answer CE; first-step local tables,3.7872934341430664,2.7585043907165527,0.021123641137654234,1.224634845571877,2.666520118713379,0.014224286490866671,-0.05141020681929884,0.007779502421617871,0.056003525761798456,2.3653364181518555,0.04224100708961487
4,process,2000,42,1.0,1.0,after greedy trace; not a marginal over traces,1.0,1.0,gold-prefix trace readout; conditioned on valid state token,1.0,0.00011588485358515754,0.9999990463256836,0.9993281960487366,7.326123159145936e-05,1.0002084970474243,0.0001755427656462416,0.00035778520395979285,0.0003577814786694944,1.0,,,,,,,,,,,,
4,outcome,2000,42,0.14453125,0.14453125,direct answer conditioned on COLON,0.9993060827255249,0.1875,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
4,both,2000,42,0.31640625,0.31640625,direct answer conditioned on COLON,0.9979544878005981,0.26249998807907104,gold-prefix trace readout; conditioned on valid state token,0.9963942170143127,0.01490253396332264,0.9998033046722412,0.7751771211624146,0.01492405030876398,1.1677274703979492,0.06365269422531128,0.8209121823310852,0.8206469416618347,0.987500011920929,mixed only; direct answer CE; first-step local tables,5.656790256500244,0.5139622688293457,0.07850539164545889,0.99698621335701,0.5835593938827515,0.06941365170019524,0.06491307536749648,-0.022027478609075286,0.03407675767908422,2.272799015045166,0.009111082181334496
4,process,0,43,0.0,0.0,after greedy trace; not a marginal over traces,0.0,0.0,gold-prefix trace readout; conditioned on valid state token,0.0625,0.9371675848960876,0.2612718641757965,0.1254195272922516,0.1977485716342926,0.05996379256248474,0.36695313453674316,1.0,nan,0.03750000149011612,,,,,,,,,,,,
4,outcome,0,43,0.0,0.0,direct answer conditioned on COLON,0.25417187809944153,0.0625,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
4,both,0,43,0.0,0.0,direct answer conditioned on COLON,0.25417187809944153,0.0625,gold-prefix trace readout; conditioned on valid state token,0.0625,0.9371675848960876,0.2612718641757965,0.1254195272922516,0.1977485716342926,0.05996379256248474,0.36695313453674316,0.7564715147018433,0.3339307904243469,0.03750000149011612,mixed only; direct answer CE; first-step local tables,4.9404706954956055,3.572016716003418,0.2215405465404817,1.0965369091812134,0.10817400366067886,0.029670313339257768,0.04379019349859234,-0.020664060430960682,0.026039104002591004,4.207277297973633,2.896129608154297
4,process,100,43,0.20703125,0.14453125,after greedy trace; not a marginal over traces,0.9999746084213257,0.2750000059604645,gold-prefix trace readout; conditioned on valid state token,0.65625,0.49738067388534546,0.9987770915031433,0.8416435718536377,0.08974950760602951,1.272409200668335,0.1539953351020813,0.756024181842804,0.7560238242149353,0.25,,,,,,,,,,,,
4,outcome,100,43,0.12109375,0.12109375,direct answer conditioned on COLON,0.995855987071991,0.08749999850988388,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
4,both,100,43,0.10546875,0.10546875,direct answer conditioned on COLON,0.9950259923934937,0.07500000298023224,gold-prefix trace readout; conditioned on valid state token,0.5817307829856873,0.5970524549484253,0.9944077134132385,0.6980879306793213,0.08195666968822479,0.9612983465194702,0.10291130095720291,0.22011975944042206,0.21808001399040222,0.11249999701976776,mixed only; direct answer CE; first-step local tables,4.267370223999023,7.266644477844238,0.5261081558620556,1.4518619506903538,4.2298712730407715,0.13675086557768262,-0.003137555020815037,0.03413933646385289,0.1522702379970679,2.5294578075408936,2.4590306282043457
4,process,500,43,1.0,1.0,after greedy trace; not a marginal over traces,1.0,1.0,gold-prefix trace readout; conditioned on valid state token,1.0,0.0017124669393524528,0.999993085861206,0.9960994720458984,0.0009422458242624998,1.0019471645355225,0.0035866815596818924,0.005516623612493277,0.005516623146831989,1.0,,,,,,,,,,,,
4,outcome,500,43,0.171875,0.171875,direct answer conditioned on COLON,0.9989230036735535,0.21250000596046448,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
4,both,500,43,0.21484375,0.21484375,direct answer conditioned on COLON,0.9966465830802917,0.13750000298023224,gold-prefix trace readout; conditioned on valid state token,0.9975961446762085,0.03342509642243385,0.9998419880867004,0.9135119915008545,0.022845081984996796,1.1178590059280396,0.04950664937496185,0.8311880826950073,0.8308310508728027,0.987500011920929,mixed only; direct answer CE; first-step local tables,5.340524673461914,1.5840946435928345,0.1355494471551974,1.0037766435604916,1.5343891382217407,0.12153098471037985,0.01063421437091395,-0.009650578082318263,0.03914911355216769,2.5918867588043213,0.07788940519094467
4,process,1000,43,1.0,1.0,after greedy trace; not a marginal over traces,1.0,1.0,gold-prefix trace readout; conditioned on valid state token,1.0,0.0004200186231173575,0.9999978542327881,0.999211311340332,0.00024302203382831067,1.000748634338379,0.0006654389435425401,0.0014456463977694511,0.0014456463977694511,1.0,,,,,,,,,,,,
4,outcome,1000,43,0.2265625,0.2265625,direct answer conditioned on COLON,0.9993923902511597,0.1875,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
4,both,1000,43,0.1953125,0.1953125,direct answer conditioned on COLON,0.993951678276062,0.20000000298023224,gold-prefix trace readout; conditioned on valid state token,1.0,0.010800779797136784,0.9999619126319885,0.9833694696426392,0.007243519648909569,1.072419285774231,0.02945617027580738,0.8425752520561218,0.8419818878173828,1.0,mixed only; direct answer CE; first-step local tables,5.677651882171631,0.5105789303779602,0.07753849179821996,0.9970646429435573,0.5440360903739929,0.03651428660083241,-0.05912238448339116,-0.0029239927799853127,0.04946992488119554,2.3123509883880615,0.02145194821059704
4,process,2000,43,1.0,1.0,after greedy trace; not a marginal over traces,1.0,1.0,gold-prefix trace readout; conditioned on valid state token,1.0,0.00012073975813109428,0.9999991059303284,0.999673068523407,7.591558824060485e-05,1.0002816915512085,0.0002579387801233679,0.00042400500387884676,0.00042400500387884676,1.0,,,,,,,,,,,,
4,outcome,2000,43,0.2109375,0.2109375,direct answer conditioned on COLON,0.9995777010917664,0.22499999403953552,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
4,both,2000,43,0.26953125,0.26953125,direct answer conditioned on COLON,0.9978984594345093,0.17499999701976776,gold-prefix trace readout; conditioned on valid state token,1.0,0.007065693847835064,0.9999474883079529,0.9579023718833923,0.005961755756288767,1.091110348701477,0.03467681258916855,0.8497157096862793,0.8494638204574585,1.0,mixed only; direct answer CE; first-step local tables,7.356924057006836,3.306708574295044,0.010208589959230735,1.0921738269244081,3.1059305667877197,0.008405685678108846,-0.025585363542339676,0.00031170442443951077,0.01946548880170173,2.4795114994049072,0.03340665251016617
4,process,0,44,0.0,0.0,after greedy trace; not a marginal over traces,0.0,0.0,gold-prefix trace readout; conditioned on valid state token,0.05528846010565758,0.9371410012245178,0.2128630429506302,0.10544508695602417,0.24504239857196808,0.060276634991168976,0.25803104043006897,1.0,nan,0.07500000298023224,,,,,,,,,,,,
4,outcome,0,44,0.0,0.0,direct answer conditioned on COLON,0.16627486050128937,0.05000000074505806,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
